UNITID,EN2010,EN2011
127732,3923,1342
127741,15332,21987
127741,11515,21987
127741,3817,787
127778,2214,787
127778,2214,12224
127787,1933,12224
127787,1933,15229
127820,20231,15229
127820,20231,14706
127839,621,7123
127839,621,7583
127884,10839,835
127884,10839,835
127909,14622,78
127909,14622,18
127918,14609,60
127918,7119,13665
127918,7490,7398
127945,696,6267
127945,696,1596
127954,60,1596
127954,18,582
127954,42,582
128106,14604,848
128106,8435,848
128106,6169,2910
128151,1684,2910
128151,1684,4629
128179,638,4629
128179,638,251
128188,990,251
128188,990,2588
128258,2774,2479
128258,2774,109
128328,4620,24
128328,4620,22
128337,297,2
128337,297,2514
128391,2402,1968
128391,2402,546
128425,35,152
128425,29,152
128425,6,2685
128498,2709,2685
128498,2110,82
128498,599,82
128540,153,992
128540,153,992
128577,2723,1446
128577,2723,1446
128586,59,228
128586,59,228
128674,1126,6201
128674,1126,3076
128683,1037,3125
128683,1037,415
128726,241,415
128726,241,15391
128744,6295,11868
128744,2763,3523
128744,3532,3235
128762,490,3235
128762,490,552
128771,15535,552
128771,11817,2087
128771,3718,2079
128780,3443,8
128780,3443,281
128896,498,281
128896,498,792
128902,2178,792
128902,2173,27648
128902,5,18461
128957,302,9187
128957,302,4169
129002,731,4169
129002,731,1977
129020,27322,1977
129020,18151,6551
129020,9171,6114
129154,3193,437
129154,3193,5802
129181,1981,4279
129181,1981,1523
129215,6650,333
129215,6118,333
129215,532,6514
129242,6101,6514
129242,4529,514
129242,1572,514
129349,327,676
129349,327,676
129367,6150,219
129367,6150,219
129428,831,8695
129428,831,6288
129446,45,2407
129446,45,479
129482,739,67
129482,739,412
129491,222,9008
129491,222,9008
129525,8758,489
129525,6388,489
129525,2370,53
129534,428,53
129534,64,93
129534,364,89
129543,8366,4
129543,8366,10524
129613,311,10524
129613,311,9837
129640,56,9837
129640,56,4424
129686,103,4424
129686,101,1093
129686,2,1093
129695,10326,6832
129695,10326,6832
129729,9451,1406
129729,9451,1406
129756,4434,981
129756,4434,981
129774,1057,6981
129774,1057,4751
129808,5630,2230
129808,5630,567
129923,1582,567
129923,1582,9288
129932,1175,9288
129932,1175,2506
