UNITID,F1A13_10,F1A18_10,F1B25_10,F1A13_11,F1A18_11,F1B25_11
121691,,,,,,
121707,37515143,43135659,57611786,37457745,51410212,68994497
121859,,,,,,
121868,,,,,,
121877,,,,,,
121886,155660261,92716415,120315327,221852715,94501962,118285766
121901,183829810,195553952,236612649,300845170,216986120,274898974
121983,,,,,,
121992,,,,,,
122117,,,,,,
122180,,,135782804,,,121872131
122205,,,131052077,,,136159324
122296,,,,,,
122320,,,,133564338,59012001,63773872
122339,177815000,79547818,108317571,203569337,89941928,130641583
122366,,,,,,
122375,247200387,110588261,146642386,174457255,77079496,103875094
122384,120740993,54015030,73799202,91082575,40242516,53597399
122409,216604145,407749533,501735677,209752806,442405743,503352444
122436,,,,,,
122454,,,,,,
122506,,,,,,
122597,360887599,386464479,464821123,351629587,416951887,480913511
122603,,,,,,
122612,,,,,,
122649,,,,,,
122658,227794110,97889218,155703869,223445479,105662667,177322669
122685,,,,,,
122694,,,,,,
122728,,,,,,
122737,326759563,84512823,28396565,322379600,77783185,33676737
122746,,,56938928,,,58092844
122755,349350983,241753581,392927632,376456613,247881677,397359600
122782,127782069,30837840,29880886,127473273,24963496,29810861
122791,301840716,72843677,70583205,301111293,58967580,81677318
122834,,,,,,
122843,,,,,,
122852,,,,,,
122889,67817015,128120353,152803866,66643958,131592921,151337077
122931,,,,,,
122977,461357922,124706478,210722494,462824417,131101526,234331184
123013,255282168,184722906,159727838,245379388,189629575,158129162
123095,,,,,,
123165,,,,,,
123208,,,,,,
123217,101039815,75578487,98060722,120311527,92138894,110542744
123280,,,,,,
123299,66424312,33097991,68327839,63930463,35215416,69926933
123341,108179529,84778847,117173801,105439784,85500893,122106726
123350,,,,,,
123396,,,,,,
123448,,,,,,
123457,,,,,,
123484,32598484,6943785,28944088,32025540,8778628,29931096
123493,,,12573992,,,8338105
123509,212764098,51346682,49753301,212249936,41565579,57573415
123527,,,101332205,,,119767351
123554,,,,,,
123563,146021047,29636108,80232253,140852178,31434495,85581673
123572,201162387,165672763,162200631,197244869,172843479,159581888
123581,,,,,,
123633,,,,,,
123642,,,,,,
123651,,,,,,
123679,,,,,,
123800,207490092,70014109,135775378,277408084,69726216,142506262
123855,,,,,,
123916,,,,,,
123925,2959109,26264616,22251348,3036796,22809688,25789055
123943,,,,,,
123952,,,,,,
123961,,,,,,
123970,,,,,,
124113,76159068,45912638,40958076,78401624,44607185,36882025
124283,,,,,,
124292,,,,,,
124344,,,,,,
124487,,,,,,
124557,27238444000,19351076000,1440931000,30047869000,19764772000,1813727000
124681,,,,,,
124706,,,,,,
124779,,,,,,
124937,,,,,,
125019,362981840,350912522,56806745,358314096,350209588,59372062
125028,,,67349558,,,65683021
125037,,,,,,
125082,,,,,,
125091,161522257,56471858,104602528,159266000,68249000,108388031
125170,,,30804721,,,42016531
125222,317690468,116298007,85229878,316606669,116256876,83963499
125231,,,,,,
125301,,,7122591,,,6991333
125462,,,40897512,,,40270129
125471,,,79051357,,,90242855
125480,,,,,,
125499,,,,,,
125532,,,,,,
125718,,,,,,
125727,,,,,,
125763,,,,,,
125897,,,,,,
126012,,,,,,
126030,,,,,,
126049,,,,,,
126076,,,,,,
126100,354196914,118129023,104658073,363460989,117418597,107734646
126119,79397731,33262476,47079378,97669670,32540855,48210026
126164,,,,,,
126182,72123426,64302444,45288143,72277420,65079900,47801543
126207,29155131,84338488,69612919,27484784,96997545,64167270
126289,9714875,39539035,39214310,10529898,42716749,43709530
126359,,,,,,
126401,,,,,,
126410,,,,,,
126562,751140732,899190479,1253498488,828897927,940324776,1353973581
126580,130231745,169735806,140437507,135321693,178041985,134618195
126605,,,,,,
126614,804270398,1102261699,1103614640,834461672,1219892764,1177843705
126669,,,,,,
126678,,,,,,
126687,,,,,,
126702,,,,,,
126711,36774681,157171397,98124021,38159940,172622471,89060118
126748,11692365,21328426,19762706,11151255,33581480,25579345
126775,214054209,160965800,180701338,214924899,196579816,203708406
126784,,,,,,
126818,559985556,687060596,810948384,669356406,728226515,852321061
126827,,,,,,
126854,,,,,,
126863,6088515,16644313,31711521,6877989,18948405,34624610
126872,,,,,,
126915,,,4196387,,,4356931
126924,,,,,,
126942,11510853,21723630,52874834,37045641,31863524,60786275
126951,,,,,,
126979,,,,,,
127024,,,,,,
127060,,,,,,
127158,,,17251514,,,15411319
127185,67351497,114982980,71959819,63363430,124263354,70396093
127200,19950958,100444625,107078842,21539287,121211757,115742326
127219,,,,,,
127228,,,,,,
127273,,,,,,
127316,,,,,,
127389,1078594,13180818,9090297,4199923,12944319,8436921
127556,164836372,152629592,109553565,159945020,161186594,97776344
127565,100207570,53409525,157312726,105609953,64925056,165177050
127617,1991880,15705887,14636907,1842620,17784240,12813593
127653,,,,,,
127680,,,,,,
127699,,,,,,
127714,,,,,,
127732,13016847,18483239,18198423,12663789,21257438,18599127
127741,168937472,169545566,191492920,163192280,176170828,196094810
127778,5669954,21356384,21658403,5478385,23038513,23358155
127787,,,,,,
127820,20822374,39634262,73755798,21789914,51938773,87511053
127839,,,,,,
127884,7838122,41179359,46345744,22184216,44364639,47101661
127909,11691201,36892535,49531934,11298604,44629122,55198363
127918,,,,,,
127945,,,,,,
127954,,,,,,
128106,84493657,79713131,79202569,79910967,90228872,84558021
128151,,,4786219,,,4821235
128179,,,,,,
128188,,,,,,
128258,4067887,19151165,19276035,4392089,22217660,21334290
128300,33398050,213475388,170815779,11276624,307399749,189696223
128328,,,760787147,,,759815852
128337,,,,,,
128391,95974942,47627980,46962474,96499066,63411282,53798737
128425,,,,,,
128498,,,,,,
